website,output.cyclomatic,output.cyclomaticDensity,output.halstead.bugs,output.halstead.difficulty,output.halstead.effort,output.halstead.length,output.halstead.time,output.halstead.vocabulary,output.halstead.volume,output.halstead.operands.distinct,output.halstead.operands.total,output.halstead.operators.distinct,output.halstead.operators.total,output.params,output.sloc.logical,output.sloc.physical,class
meddyteddy.com,1,100.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0,1.0,1.0,0
123movies.eu,66,63.7605,4.583,47.4235,1304010.435,1613.5,72445.024,184.5,13748.5055,166.0,849.0,18.5,764.5,24,238.5,297.5,1
xn--medicosenespaol-brb.com,1,100.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0,1.0,1.0,0
1sps.faucetfly.com,66,63.7605,4.583,47.4235,1304010.435,1613.5,72445.024,184.5,13748.5055,166.0,849.0,18.5,764.5,24,238.5,297.5,1
szsmwdy.com,1,50.0,0.001,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0,2.0,2.0,0
3dsha.re,66,38.7605,4.5835,47.4235,1304010.435,1614.0,72445.024,185.0,13749.5055,166.5,849.5,18.5,764.5,24,239.0,298.0,1
mazda-press.com,1,100.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0,1.0,1.0,0
3ili.blogspot.ae,66,63.7605,4.583,47.4235,1304010.435,1613.5,72445.024,184.5,13748.5055,166.0,849.0,18.5,764.5,24,238.5,297.5,1
msartech.blogspot.com,1,100.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0,1.0,1.0,0
3ili.blogspot.ca,66,63.7605,4.583,47.4235,1304010.435,1613.5,72445.024,184.5,13748.5055,166.0,849.0,18.5,764.5,24,238.5,297.5,1
foodwatch.org,1,100.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0,1.0,1.0,0
3ili.blogspot.co.il,66,63.7605,4.583,47.4235,1304010.435,1613.5,72445.024,184.5,13748.5055,166.0,849.0,18.5,764.5,24,238.5,297.5,1
articlebasement.com,1,100.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0,1.0,1.0,0
3ili.blogspot.com,66,63.7605,4.583,47.4235,1304010.435,1613.5,72445.024,184.5,13748.5055,166.0,849.0,18.5,764.5,24,238.5,297.5,1
royal-canin.ru,1,100.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0,1.0,1.0,0
3ili.blogspot.com.eg,66,63.7605,4.583,47.4235,1304010.435,1613.5,72445.024,184.5,13748.5055,166.0,849.0,18.5,764.5,24,238.5,297.5,1
wildcenter.org,1,100.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0,1.0,1.0,0
3ili.blogspot.qa,66,63.7605,4.583,47.4235,1304010.435,1613.5,72445.024,184.5,13748.5055,166.0,849.0,18.5,764.5,24,238.5,297.5,1
luckylike.ru,1,10.0,0.011000000000000001,0.0,0.0,10.0,0.0,9.0,31.699,9.0,10.0,0.0,0.0,0,10.0,10.0,0
3rialha.ir,66,18.7605,4.5885,47.4235,1304010.435,1618.0,72445.024,188.5,13764.355,170.0,853.5,18.5,764.5,24,243.0,302.0,1
nusu-my.sharepoint.com,1,12.5,0.003,0.0,0.0,8.0,0.0,2.0,8.0,2.0,8.0,0.0,0.0,0,8.0,8.0,0
3ty.ru,66,20.0105,4.5845,47.4235,1304010.435,1617.0,72445.024,185.0,13752.5055,166.5,852.5,18.5,764.5,24,242.0,301.0,1
mobihall.com,1,100.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0,1.0,1.0,0
4plaatjes-1woord.nl,66,63.7605,4.583,47.4235,1304010.435,1613.5,72445.024,184.5,13748.5055,166.0,849.0,18.5,764.5,24,238.5,297.5,1
ujirafika.ru,1,50.0,0.001,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0,2.0,2.0,0
4render.blogspot.com,66,38.7605,4.5835,47.4235,1304010.435,1614.0,72445.024,185.0,13749.5055,166.5,849.5,18.5,764.5,24,239.0,298.0,1
pashasanat.com,1,100.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0,1.0,1.0,0
777doge.co.in,66,63.7605,4.583,47.4235,1304010.435,1613.5,72445.024,184.5,13748.5055,166.0,849.0,18.5,764.5,24,238.5,297.5,1
mygolfspy.com,1,14.286,0.006999999999999999,0.0,0.0,7.0,0.0,7.0,19.651,7.0,7.0,0.0,0.0,0,7.0,7.0,0
93.bigdealsmedia.net,66,20.9035,4.5865,47.4235,1304010.435,1616.5,72445.024,187.5,13758.331,169.0,852.0,18.5,764.5,24,241.5,300.5,1
daralbalagh.com,1,50.0,0.001,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0,2.0,2.0,0
99covers.com,66,38.7605,4.5835,47.4235,1304010.435,1614.0,72445.024,185.0,13749.5055,166.5,849.5,18.5,764.5,24,239.0,298.0,1
canastarosa.com,1,100.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0,1.0,1.0,0
adha.ms,66,63.7605,4.583,47.4235,1304010.435,1613.5,72445.024,184.5,13748.5055,166.0,849.0,18.5,764.5,24,238.5,297.5,1
themeforest.download,1,100.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0,1.0,1.0,0
adictalamoda.com,66,63.7605,4.583,47.4235,1304010.435,1613.5,72445.024,184.5,13748.5055,166.0,849.0,18.5,764.5,24,238.5,297.5,1
masturbatetogether.com,1,100.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0,1.0,1.0,0
agem.handmade.sk,66,63.7605,4.583,47.4235,1304010.435,1613.5,72445.024,184.5,13748.5055,166.0,849.0,18.5,764.5,24,238.5,297.5,1
waterdamagerestorations.org,1,11.110999999999999,0.01,0.0,0.0,9.0,0.0,9.0,28.529,9.0,9.0,0.0,0.0,0,9.0,9.0,0
agyal.net,66,19.316,4.588,47.4235,1304010.435,1617.5,72445.024,188.5,13762.77,170.0,853.0,18.5,764.5,24,242.5,301.5,1
sushasannews.com,1,100.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0,1.0,1.0,0
airforum.cba.pl,66,63.7605,4.583,47.4235,1304010.435,1613.5,72445.024,184.5,13748.5055,166.0,849.0,18.5,764.5,24,238.5,297.5,1
nowageringcasinos.com,1,11.110999999999999,0.01,0.0,0.0,9.0,0.0,9.0,28.529,9.0,9.0,0.0,0.0,0,9.0,9.0,0
aksakal.tv,66,19.316,4.588,47.4235,1304010.435,1617.5,72445.024,188.5,13762.77,170.0,853.0,18.5,764.5,24,242.5,301.5,1
